<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `l_ih_g n_ax_m `v_ay_t </s>	リグナムバイタ	リグナムバイタ
<s> `s_ae_n s_ih `v_eh r_iy_ax </s>	サンセベリア	サンシベリア
<s> `d_ih jh_ax t_ax_l `d_ey t_ax </s>	デジタルデータ	ディジタルデータ
<s> `aa_p sh_ax n_ax_l </s>	オプショナル	オプショナル
<s> `k_ah_t `g_l_ae_s </s>	カットガラス	カットグラス
<s> `s_ih n_ax `b_aa_r </s>	シナバー	シナバー
<s> `b_aa_r `k_ow_d `r_iy d_er </s>	バーコードリーダー	バーコードリダ
<s> `k_l_ih_k `b_ey_t </s>	クリックベイト	クリックベイト
<s> `n_ao_r m_ax_l `t_ey_p </s>	ノーマルテープ	ノーマルテープ
<s> `f_ih g_y_er `s_k_ey t_ih_ng </s>	フィギュアスケーティング	フィギュアスケーティング
<s> `r_ow_z `k_w_ao_r_t_s </s>	ローズクォーツ	ローズクォーツ
<s> `w_ay_l_d `k_ae_t </s>	ワイルドキャット	ワイルドキャット
<s> `s_ih_l v_er `p_l_ae_n </s>	シルバープラン	シルバープラン
<s> `s_k_r_uw p_r_ax `p_eh l_er </s>	スクリュープロペラ	スクリュープロパラ
<s> `ae_sh `k_eh n_ax `z_iy_m </s>	アシュケナジム	アッシュケナジム
<s> `t_r_uw `t_ay_p `f_aa_n_t </s>	トゥルータイプフォント	トタイプフォント
<s> d_ih `b_ah s_iy </s>	ドビュッシー	デバッシー
<s> `hh_ay `k_ah_t </s>	ハイカット	ハイカット
<s> s_t_ae_g `f_l_ey sh_ax_n </s>	スタグフレーション	スタグフレーション
<s> ih `k_aa l_ax jh_iy </s>	エコロジー	エコロジー
<s> `k_r_ow n_ax `s_k_ow_p </s>	クロノスコープ	クロノスコープ
<s> `p_aw er f_ax_l </s>	パワフル	パワーフル
<s> `b_ah_s `sh_eh_l t_er </s>	バスシェルター	バスシェルター
<s> `b_ah_s `b_oy </s>	バスボーイ	バスボーイ
<s> `t_uh_r `d_iy </s>	ツールド	トーデ
<s> `p_ey `t-iy `v-iy </s>	ペイテレビ	ペーティービー
<s> `b_l_uw `t_ae_ng `s_er jh_ax_n `f_ih_sh </s>	ブルータンサージョンフィッシュ	ブルータンサージョンフィッシュ
<s> `p_iy `jh_ae k_ax_t </s>	ピージャケット	ピージャケット
<s> `y_uw_z_d </s>	ユーズド	ユースド
<s> `g_ae l_iy ax_m </s>	ガリウム	ガリウム
<s> `l_iy_d `aw_t </s>	リードアウト	リードアウト
<s> ax `s_ih s_t_ax_n_t ax_b `jh_eh_k_t </s>	アシスタントオブジェクト	アシスタントオブジェクト
<s> ax `l_ae s_k_ax </s>	アラスカ	アラスカ
<s> k_ax `m_y_uw n_ax t_iy `m_iy d_iy ax </s>	コミュニティーメディア	カムナティーメディア
<s> `b_uw_t_s </s>	ブーツ	ブーツ
<s> `v-iy `eh-l `eh-s `ay </s>	ブイエルエスアイ	ブイエルエスアイ
<s> `r_aa b_aa_t </s>	ラバト	ラバト
<s> `k_eh r_ax m_ax_l </s>	キャラメル	カラメル
<s> d_er `eh_k t_er </s>	ディレクター	ダレクター
<s> `p_r_aa_k s_iy `s_er v_er </s>	プロキシサーバー	プロキシサーバー
<s> er b_ax `n_ih z_ax_m </s>	アーバニズム	アバニズム
<s> `b_eh_d </s>	ベッド	ベッド
<s> s_iy l_ax_s `t_ae_t </s>	シーロスタット	シレスロタット
<s> `t_eh f_r_ax </s>	テフラ	テフラ
<s> `b_r_ao_d `k_ae_s_t `s_t_ao_r_m </s>	ブロードキャストストーム	ブロードキャストストーム
<s> n `s_aa p_iy </s>	エヌエスエーピーアイ	ノソーピー
<s> `d_aw_n b_er_s_t </s>	ダウンバースト	ダウンバースト
<s> `d_ae_b </s>	ダブ	ダブ
<s> `ay `s_aa p_r_ax p_ax `n_aa_l </s>	イソプロパノール	アイソプロパノール
<s> `ey-ch `eh-s `v-iy </s>	エイチエスブイ	エイチエスブイ
<s> `s_ih n_ih k_ax_l </s>	シニカル	シニカル
<s> `m_eh s_ax_n jh_er </s>	メッセンジャー	メチンジャー
<s> `k_ah_m p_ax n_iy ih `k_aa n_ax m_ih_s_t </s>	カンパニーエコノミスト	コンパニエッコノミスト
<s> k_ax `p_r_aa n_ax k_ax_l </s>	キュプロニッケル	カプロニッケル
<s> `b_eh_l `m_ow p_ax_n </s>	ベルモパン	ベルモパン
<s> `g_l_ae s_n_aa_s_t </s>	グラスノスチ	グラスノスチ
<s> `m_er ch_ax_n_t `b_ae_ng k_er </s>	マーチャントバンカー	マーチャントバンカー
<s> `s_t_ae_n_d `p_oy_n_t </s>	スタンドポイント	スタンドポイント
<s> `ih_n t_er `n_eh_t s_ih `k_y_uh r_ax t_iy </s>	インターネットセキュリティ	インターネットシクリティ
<s> s_p_ax `g_eh t_iy b_ow l_ow_g `n_ey z_iy </s>	スパゲティボロネーゼ	スパゲッティボロネーゼ
<s> p_ih `k_aa `k_y_uh r_iy </s>	ピコキュリー	ピコキュリ
<s> s_aa p_iy ax_n_s </s>	サピエンス	サピエンス
<s> `m_eh t_ax f_ao_r </s>	メタファー	メタフォール
<s> ih_k `s_ay_t </s>	エキサイト	エクサイト
<s> `t_ow t_ax_l `eh n_er jh_iy `s_ih s_t_ax_m </s>	トータルエネルギーシステム	トタイエナジーシステム
<s> `ao_n `l_ay_n d_iy `b_ah g_ih_ng </s>	オンラインデバッギング	オンラインディバギング
<s> `eh r_ax `m_aa_n </s>	アラモン	エリマン
<s> `eh_k s_t_ax s_iy </s>	エクスタシー	エクスタシー
<s> `k_eh m_ax k_ax_l `l_ay_t </s>	ケミカルライト	カマカルライト
<s> `l_ay_r `t_ey_l </s>	ライアーテール	ライアーテール
<s> `d_r_ao_w `s_t_r_ih_ng </s>	ドローストリング	ドローストリング
<s> eh_m `b_ae_l m_ih_ng </s>	エンバーミング	エンバーミング
<s> `s_ih_n `th_ey `t_ey_s </s>	シンテターゼ	シンテターゼ
<s> `k_ae b_ax_jh `r_ow_l </s>	ロールキャベツ	カベツロール
<s> `n_uw `s_p_ao_r_t_s </s>	ニュースポーツ	ニュースポーツ
<s> `aa_r `g_ay_l </s>	アーガイル	アーガイル
<s> `t_ay `t_aa n_ow `s_ao r_ax_s </s>	ティタノサウルス	タイトノサウルス
<s> `sh_ow `b_ow_t </s>	ショーボート	ショーボート
<s> `b_eh_n_ch `m_aa_r_k `t_eh_s_t </s>	ベンチマークテスト	ベンチマークテスト
<s> `ao_l ih_n `w_ah_n </s>	オールインワン	オールインワン
<s> `k_ah l_er_d `ih_ng_k </s>	カラーインク	カラーインク
<s> k_ax `m_iy l_iy_ax_n </s>	カメレオン	カメレオン
<s> `k_l_ah_ch </s>	クラッチ	クラッチ
<s> `r_ae_n d_ax_m </s>	ランダム	ランダム
<s> `ow p_ax_n `jh_ao </s>	オープンジョー	オープンジョー
<s> `hh_ih_t l_er `y_uw_th </s>	ヒトラーユーゲント	ヒットラーユース
<s> `ih_n d_eh_k_s </s>	インデックス	インデックス
<s> `jh-ey `s_t_r_ow_k </s>	ジェーストローク	ジャストローク
<s> `n_aa_ch `b_ae_k </s>	ノッチバック	ノッチバック
<s> `s_t_r_iy_m </s>	ストリーム	ストリーム
<s> `w_eh_l `w_ih ch_iy ax </s>	ウェルウィッチア	ウェルウィッチア
<s> `iy g_ax_l </s>	イーグル	エル
<s> `m_aa `b_l_aa_g </s>	モブログ	モブログ
<s> `b_iy_f `jh_er k_iy </s>	ビーフジャーキー	ビーフジャーキー
<s> aa_ng k_ax `l_aa `s_ao r_ax_s </s>	アンキロザウルス	アンコロサウルス
<s> `b_ih_t `p_eh r_ax t_iy </s>	ビットパリティ	ビットパラチ
<s> `v_eh_l v_ax_t </s>	ベルベット	ベルベット
<s> `f_ow `t_ow r_iy `t_ah ch_ih_ng </s>	フォトレタッチ	フォトリティチング
<s> `m_ih_s_t `sh_aw er </s>	ミストシャワー	ミストシャワー
<s> `b_l_iy ch_ih_ng </s>	ブリーチング	ブリーチング
<s> `ch_ih_p `s_eh_t </s>	チップセット	チップセット
<s> jh_ax `t_aa k_ax </s>	ジャータカ	ジタカ
<s> `s_iy </s>	シー	シー
<s> `t_eh_k n_ow `p_aa_r_k </s>	テクノパーク	テクノパーク
<s> `k_iy `k_l_ah_b </s>	キークラブ	キークラブ
<s> `d_aa p_l_er `sh_ih_f_t </s>	ドプラーシフト	ドプラーシフト
<s> `t_ih `p_aa l_ax jh_iy </s>	タイポロジー	テポリジ
<s> ih_n `jh_eh_s_t </s>	インジェスト	インジェスト
<s> `t_r_uw_m </s>	ティールーム	ティールーム
<s> `ae_l t_ax `t_uw_d `d_ay_v </s>	アルティチュードダイブ	アルタチュードダイブ
<s> `b_r_ih_k `ch_iy_z </s>	ブリックチーズ	ブリックチーズ
<s> `v_ow_l_t `ae_m `p_ih_r </s>	ボルトアンペア	ボルトアンペア
<s> `k_aa_ng g_ow `r_eh_d </s>	コンゴーレッド	コンゴレッド
<s> `ao s_t_r_ax `l_ey zh_ax </s>	オーストララシア	オーストララシア
<s> `m_ae n_ih `t_ow b_ax </s>	マニトバ	マニトバ
<s> `iy g_ax `t_ih z_ax_m </s>	エゴティズム	エゴティズム
<s> `d_eh_n t_ax_l `r_ih_n_s </s>	デンタルリンス	デンタルリンス
<s> `l_uw_p ae_n `t_eh n_ax </s>	ループアンテナ	ループアンテナ
<s> l_aa t_er `ay_t </s>	ラテライト	ラタライト
<s> `d_r_ay_v </s>	ドライブ	ドライブ
<s> s_ax `l_eh_k t_ih_ng </s>	セレクティング	シレクティング
<s> `hh_aa b_ih_t </s>	ホビット	ホビット
<s> t_r_ax_t </s>	タロット	タロット
<s> t_r `s_ow </s>	トゥルソー	ティアソー
<s> `f_l_ae_t `b_eh_d `s_k_ae n_er </s>	フラットベッドスキャナ	フラットベッドスキャナー
<s> s_ih `k_y_uh r_ax t_iy `hh_ow_s_t </s>	セキュリティホスト	シクリティホスト
<s> `aa_r `k_ay_v `f_ay_l </s>	アーカイブファイル	アーカイブファイル
<s> `p_ae n_ax_l </s>	パネル	パネル
<s> `k_ao r_iy `d_ao r_ax_z </s>	コリドラス	コリドラス
<s> `s_ae_n t_ax </s>	サンタ	サント
<s> `b_ae_th `b_ah z_er </s>	バスブザー	バスバザー
<s> `hh_aa_r p_iy </s>	ハーピー	アピ
<s> `b_l_ae_k `jh_er n_ax `l_ih z_ax_m </s>	ブラックジャーナリズム	ブラックジャーナリズム
<s> `s_t_r_eh_p t_ax `k_aa k_ax_s </s>	ストレプトコッカス	ストコカス
<s> `g_l_ae_s `b_l_aa_k </s>	ガラスブロック	グラスブロック
<s> `s_ey_l_z p_r_ax `m_ow sh_ax_n </s>	セールスプロモーション	セールスプロモーション
<s> `p_ay r_ax `d_aa_k s_ay_n </s>	ピリドキシン	ピラドクシン
<s> `p_ih g_iy `b_ae_k `b_ao_r_d </s>	ピッギーバックボード	ピギーバックボード
<s> `hh_ae p_iy `eh_n d_ih_ng </s>	ハッピーエンド	ハピーエンディング
<s> `b_ae_k `p_ae_k </s>	バックパック	バックパック
<s> `p_aa_p `g_aa_r_d </s>	ポップガード	ポップガード
<s> k_ax_n `s_er `t_iy n_ax </s>	コンサーティーナ	コンサーティーノ
<s> `k_ae_ch `w_er_d </s>	キャッチワード	キャッチワード
<s> `t_eh `er `iy_n </s>	テリーヌ	テリーヌ
<s> `p_ae_n k_r_ax `m_ae t_ih_k `f_ih_l_m </s>	パンクロマチックフィルム	パンクロマチックフィルム
<s> `n_iy ow `l_ih b_er ax_l </s>	ネオリバラル	ネオリバーオール
<s> `ay_s `y_aa_t </s>	アイスヨット	アイスヨット
<s> `s_ay k_l_ax `hh_eh_k s_ey_n </s>	シクロヘキサン	サイクロヘキサン
<s> `s_ih_l v_er `k_r_aw_n </s>	シルバークラウン	シルバークラウン
<s> `r_ae_m b_uw `t_ae_n </s>	ランブータン	ラブタン
<s> `s_n_uh k_er </s>	スヌーカー	スヌーカー
<s> `p_ae l_ax `s_t_ay_n </s>	パレスチナ	パラスタイン
<s> `aa_r `k_aa l_ax jh_iy </s>	アーコロジー	アーコロジー
<s> `b_l_ae_k `l_ay_t </s>	ブラックライト	ブラックライト
<s> `d_ao n_er k_ax `b_aa_b </s>	ドネルケバブ	ドナーキボブ
<s> ih m_ax `t_iy_n </s>	エメチン	エミチン
<s> `ih_n f_er `m_ey sh_ax_n `g_ae_p </s>	インフォメーションギャプ	インフォメーションギャップ
<s> `m_aw_n_t `p_oy_n_t </s>	マウントポイント	マウントポイント
<s> ih_n `t_eh l_ax jh_ax_n_s `s_er v_ax_s </s>	インテリジェンスサービス	インテリジェンスサービス
<s> `r_uw_m `f_r_ey g_r_ax_n_s </s>	ルームフレグランス	ルームフレーグランス
<s> `t_uh r_ih_ng `t_eh_s_t </s>	チューリングテスト	ツーリングテスト
<s> `m_eh d_ax l_ih_s_t </s>	メダリスト	メディスト
<s> `s_ih s_t_er `k_aa_m p_l_eh_k_s </s>	シスターコンプレックス	シスターコンプレックス
<s> s_ax_b `k_w_eh_s_t </s>	サブクエスト	サブクエスト
<s> `s_w_ih m_ih_ng `g_l_ah_v </s>	スイミンググローブ	スイミンググローブ
<s> `g_l_ay s_er ih_n </s>	グリセリン	グリセリン
<s> `b_r_iy_z </s>	ブリーズ	ブリーズ
<s> `p_ah_l_s `d_ay ax_l </s>	パルスダイアル	パルスダイヤル
<s> r_iy `k_oy_l </s>	リコイル	リコイル
<s> k_ax_n `d_eh_n_s </s>	コンデンス	コンデンス
<s> `s_ae_l v_iy ax </s>	サルビア	サルビア
<s> `p_r_iy ow `l_ih_m p_ih_k </s>	プレオリンプック	プレオリンピック
<s> `p_ao_r_t l_ax_n_d s_ax `m_eh_n_t </s>	ポルトランドセメント	ポートランドサメント
<s> `g_aa_l_f `w_eh_r </s>	ゴルフウエア	ゴルフウェア
<s> `k_ey `w_eh_b k_r_iy `ey t_er </s>	キーウェブクリエイタ	ケーウェブクリエーター
<s> `r_eh_k `d_ay_v </s>	レックダイブ	レクダイブ
<s> `v_aa l_iy `k_ih_k </s>	ボレーキック	ボリキック
<s> `k_r_ae_f_t `b_ih_r </s>	クラフトビール	クラフトビール
<s> k_ax `m_ae_n_d `l_ay_n `ih_n t_er `f_ey_s </s>	コマンドラインインターフェイス	カマンドラインインターフェース
<s> `p_l_ah_g k_ax_m `p_ae t_ax b_ax_l </s>	プラグコンパチブル	プラグコンパティブル
<s> `eh_l </s>	エル	エル
<s> `k_ae t_ax l_ao_g `s_p_eh_k </s>	カタログスペック	カタログスペク
<s> `n_ow, `th_ae_ng_k `y_uw </s>	ノーサンキュー	ユー
<s> `s_ay `t_ey l_iy </s>	スキュタレー	サイテーリ
<s> `s_p_ey_s `sh_ah t_ax_l </s>	スペースシャトル	スペースシャトル
<s> r_iy `v_ih zh_ax n_ih_s_t </s>	リビジョニスト	リビジュニスト
<s> `s_ao_r_s `p_r_ow `g_r_ae_m </s>	ソースプログラム	ソースプログラム
<s> `k_ae_m_p `f_ay er </s>	キャンプファイヤー	キャンプファイア
<s> `n_aa m_ax n_ax `l_ih z_ax_m </s>	ノミナリズム	ノマニリズム
<s> `eh s_p_l_ax `n_aa_d </s>	エスプラネード	エスプラネード
<s> `ih_t </s>	イット	イット
<s> `w_er_k `s_t_ey sh_ax_n v `p_ao_r_t </s>	ワークステーションビューポート	ワークステーションビューポート
<s> `s_t_ae_n d_ih_ng `s_t_aa_r_t </s>	スタンディングスタート	スタンディングスタート
<s> `w_ih z_er d_r_iy </s>	ウィザードリー	ウイザードリー
<s> `eh_r `p_aa k_ax_t </s>	エアポケット	エアポケット
<s> `t_eh_m p_r_ax `n_ih l_ow </s>	テンプラニーリョ	テンペラニロー
<s> `t_ao_r_k k_ax_n `v_er t_er </s>	トルクコンバーター	トルクコンバーター
<s> `t_ay m_ih_ng `ch_aa_r_t </s>	タイミングチャート	タイミングチャート
<s> k_ax_n t_r_ax b_ax_s </s>	コントラバス	コントラバス
<s> `b_ae_k `s_t_r_ey_t </s>	バックストレート	バックストレート
<s> `s_p_iy_d `g_ah_n </s>	スピードガン	スピードガン
<s> iy `ow l_iy </s>	アイオリソース	イオリ
<s> k_ax_n `s_t_r_ah_k t_er </s>	コンストラクタ	コンストラクター
<s> `n_uw `hh_ae_m_p sh_er </s>	ニューハンプシャー	ニューハンプシャー
<s> `m_ah dh_er ih_n `l_ao </s>	マザーインロー	マザーインロ
<s> `k_ae p_r_ax k_ao_r_n </s>	カプリコン	カプリリコン
<s> `s_ih s_t_ax_m `f_ay_l </s>	システムファイル	システムファイル
<s> z_ao `r_ih_l l_ax </s>	ゾリラ	ゾリロ
<s> `hh_ow_l ih_n `w_ah_n </s>	ホールインワン	ホールインワン
<s> `d_r_ae m_ax t_er jh_iy </s>	ドラマツルギー	ドラマタジー
<s> jh_ax `p_ae_n `b_ae sh_ih_ng </s>	ジャパンバッシング	ジパンバシング
<s> `l_ih d_ow `k_ey_n </s>	リドカイン	リドカイン
<s> `d_ih f_er `eh_n ch_ax_l </s>	ディファレンシャル	ディファレンシャル
<s> `k_r_ao_s `t_r_ey n_ih_ng </s>	クロストレーニング	クロストレーニング
<s> `aa_r `k_ay v_ih_ng </s>	アーカイビング	アーカイビング
<s> `k_aa `k_eh t_ih_sh </s>	コケッティシュ	コカティッシュ
<s> `k_r_aa t_ax_n </s>	クロトン	クロトン
<s> t_ow `n_ae l_ax t_iy </s>	トーナリティ	トナーレティ
<s> `k_ae th_eh_k s_ih_s </s>	カセクシス	カセクシス
<s> `k_ah v_er_d `w_ao r_ax_n_t </s>	カバードワラント	カバーウォーアレント
<s> `k_aw `b_oy `hh_ae_t </s>	カウボーイハット	コボーイハット
<s> ih_n `t_er p_r_ax t_er </s>	インタプリタ	インタープロタ
<s> `m_ow t_er </s>	モートル	モト
<s> d_er `eh_k_t `s_ey_l_z </s>	ダイレクトセールス	ダイレクトセールス
<s> `g_r_ae v_ax_l </s>	グラベル	グラベル
<s> `ao_l `s_t_aa_r `k_ae_s_t </s>	オールスターキャスト	オールスターキャスト
<s> `p_r_ih_n t_er `p_ao_r_t </s>	プリンタポート	プリンタポート
<s> y_uh `r_iy k_ax </s>	ユーレカ	ユーレコ
<s> ax `s_t_ey `t_iy_n </s>	アスタチン	アスタチン
<s> `ay r_ax_s `aw_t </s>	アイリスアウト	アイリスアウト
<s> `hh_ae_n_d `hh_eh_l_d </s>	ハンドヘルド	ハンドヘルド
<s> `s_ah_l f_ax p_r_ih `d_iy_n </s>	スルファピリジン	サルファピリジン
<s> `f_aa_k_s `t_eh r_iy er </s>	フォックステリア	フォックステリア
<s> `d_ey `k_eh_r </s>	デイケア	デーケア
<s> `p_r_ow `g_r_ae_m `ae n_ax `l_ay z_er </s>	プログラムアナライザー	プログラムアナリザ
<s> `t_iy_k </s>	チーク	チーク
<s> `s_ow sh_ax_l `d_ih s_t_ax_n s_ih_ng </s>	ソーシャルディスタンシング	ソシャディスタンシング
<s> `b_ae_ng k_ih_ng </s>	バンキング	バンキング
<s> ih_n `jh_eh r_ax </s>	インジェラ	インジェラ
<s> `ae k_w_ih d_ax_n_z d_ay ax `d_eh m_ax </s>	アエクィデンスディアデマ	アキデンスダイアデマ
<s> `s_aw_n_d `b_l_ae s_t_er </s>	サウンドブラスタ	サウンドブラスター
<s> `k_ae `l_iy_m b_ax </s>	カリンバ	カリンバ
<s> `p_l_ae n_ax m_ax t_er </s>	プラニメーター	プラナマタ
<s> `b_l_uw `m_ah_n d_iy </s>	ブルーマンデー	ブルーマンディ
<s> `k_aa_r b_ax `l_oy </s>	カーボロイ	カーボロイ
<s> `f_aa_s `jh_iy_n </s>	ホスゲン	フォスフォゲン
<s> `f_uw l_ih_sh </s>	フーリッシュ	フリッシュ
<s> `p_aa z_ax t_ih_v `th_ih_ng k_ih_ng </s>	ポジティブシンキング	ポジティブシンキング
<s> `eh `s_k_w_ay_r </s>	エスクワイア	エスクワイア
<s> `hh_ay p_er `m_iy d_iy ax </s>	ハイパーメディア	ハイパーメディア
<s> `v_ay_b_z </s>	バイブス	バイブス
<s> `l_ih s_ax_n </s>	リッスン	リサン
<s> `t_er m_ax n_ax_l ax `d_ae_p t_er </s>	ターミナルアダプター	ターミナルアダプタ
<s> `hh_ay `jh_ah_m_p </s>	ハイジャンプ	ハイジャンプ
<s> `th_r_uw `hh_ow_l </s>	スルーホール	スルーホール
<s> `m_aa f_iy ax </s>	マフィア	モフィア
<s> `p_aa_r l_er </s>	パーラー	パーラー
<s> `p_ih_ng_k </s>	ピンク	ピンク
<s> `d_aa_r_k `s_t_ey_jh </s>	ダークステージ	ダークステージ
<s> d_ih `m_eh_n sh_ax_n `m_eh_m b_er `p_r_aa p_er t_iy </s>	ディメンションメンバプロパティ	デメンションメンバープロパティ
<s> `hh_ey_t </s>	ヘイト	ヘイト
<s> `s_ae_n `jh_ow_z </s>	サンホセ	サンホセ
<s> `ae p_ax `t_ay z_er </s>	アピタイザー	アポチザー
<s> ax_n `f_eh_r </s>	アンフェア	アンフェア
<s> `p_ah_n_ch </s>	ポンチ	パンチ
<s> y_uw `r_ey_z </s>	ウレアーゼ	ユーレイズ
<s> `b_l_aa k_ih_ng </s>	ブロック	ブロッキング
<s> `s_aw_n_d `s_k_ah_l_p ch_er </s>	サウンドスカルプチャー	サウンドスカルプチャー
<s> `b_r_aa </s>	ブラ	ブラ
<s> `hh_ow b_ow </s>	ホーボー	ホボ
<s> `k_aa l_ax g_ax_n </s>	コラーゲン	コロゲン
<s> `b_ae r_ax_k_s </s>	バラック	バラック
<s> `d_ah g_l_ax_s `f_er </s>	ダグラスファー	ダグラスファー
