no-hit no-run game	ノーヒットノーランゲーム
juju music	ジュジュミュージック
common lisp	コモンリスプ
FM TOWNS	エフエムタウンズ
edelweiss	エーデルワイス
Pinot Bianco	ピノビアンコ
natural tone	ナチュラルトーン
baba ghanoush	ババガヌーシュ
monster customer	モンスターカスタマー
sperm bank	スパームバンク
nymphomania	ニンフォマニア
mai tai	マイタイ
school zone	スクールゾーン
wizard	ウィザード
high-octane gasoline	ハイオクタンガソリン
all right	オーライ
jalapeno pepper	ハラペーニョ
casual water	カジュアルウォーター
pitchblende	ピッチブレンド
random access	ランダムアクセス
annotation	アノテーション
friends who pretend to be lovers	カモフラージュフレンド
multibox	マルチボックス
carbon microphone	カーボンマイクロホン
sauna with stepped seats	タワーサウナ
diamond dust	ダイヤモンドダスト
Io	イオ
Far East	ファーイースト
stolen	ストールン
château	シャトー
emerald	エメラルド
person who enlivens an atmosphere	ムードメーカー
take-out	テイクアウト
copilot	コパイロット
customizer	カスタマイザ
mirepoix	ミルポワ
air conditioning	エアコンディショニング
leveling	レベリング
ceviche	セビチェ
order	オーダー
go	ゴー
V-Text	ブイテキスト
manager	マネージャー
romantic	ロマンチック
Coris marquesensis	マルケサスコリス
weapon	ウエポン
final version	ファイナルバージョン
miniature golf	パターゴルフ
surface	サーフェイス
aleph	アレフ
teleportation	テレポーテーション
palmette	パルメット
intake	インテーク
adenoid	アデノイド
free skating	フリースケーティング
highway patrol	ハイウェーパトロール
spring	スプリング
bonnet	ボンネット
reactor	リアクター
multiplex	マルチプレックス
Protestantism	プロテスタンティズム
camping	キャンピング
zetta-	ゼタ
eleven	イレブン
cheeseburger	チーズバーガー
assessment	アセス
greenmail	グリーンメール
power center	パワーセンター
isotonic	アイソトニック
nudist	ヌーディスト
cashew apple	カシューアップル
pinch runner	ピンチランナー
check shirt	チェックシャツ
sub-pattern	サブパターン
Andean mountain cat	アンデスネコ
upcard	アップカード
anchovy	アンチョビー
iridescent cardinalfish	カスリイシモチ
squeeze	スクイズ
filter press	フィルタープレス
baritone saxophone	バリトンサクソフォン
hater	ヘイター
composite image of a celebrity	アイコラ
divine dwarf goby	ミドリハゼ
Jesus Christ	ジーザスクライスト
Option key	オプションキー
solar system	ソーラーシステム
kelp	ケルプ
defending	ディフェンディング
see-through fabric	シースルーファブリック
unidentified	アンアイデンティファイド
resolution	レゾリューション
dreamer	ドリーマー
hyperlink	ハイパーリンク
receiving	レシーブ
wicket	ウィケット
drop shot	ドロップショット
free drink	フリードリンク
arsine	アルシン
trade promotion by a government or industrial leader	トップセールス
writer	ライター
aquaporin	アクアポリン
flat panel	フラットパネル
dysprosium	ジスプロシウム
supermarket chain	スーパーチェーン
subnetwork point of attachment address	サブネットワークアドレス
neoidealism	ネオイデアリズム
old fashioned-style ice cream	アイスクリン
King's goanna	キングヒメオオトカゲ
PCMCIA	ピーシーエムシーアイエー
attribute	アトリビュート
crossbar	クロスバー
main deck	メーンデッキ
Petit Verdot	プティヴェルド
Christmas market	クリスマスマーケット
aegirine	エジリン
Dow-Jones average	ニューヨークダウ
pull up leather	プルアップレザー
Japanese English	ジャパニーズイングリッシュ
monopoly	モノポリー
triose	トリオース
tag up	タッチアップ
Alan	アラン
pica	パイカ
rupee	ルピー
eugenol	オイゲノール
technostructure	テクノストラクチャー
EDS	イーディーエス
employee of a messenger or delivery service	ハンドキャリアー
refined taste	ハイセンス
antelope	アンテロープ
business modeling objects	ビジネスモデリングオブジェクト
staff	スタッフ
border light	ボーダーライト
Intranet	イントラネット
system caret	システムキャレット
gigolette	ジゴレット
deconstruction	デコンストラクション
rename	リネーム
Emmental cheese	エメンタールチーズ
card model	カードモデル
kinesiology tape	キネシオテープ
incentive sale	インセンティブセール
Shinkansen electrics and track inspection train	ドクターイエロー
camera-eye	カメラアイ
cardinal tetra	カージナルテトラ
smorgastarta	サンドイッチケーキ
Indian Ocean mimic surgeonfish	インディアンオーシャンミミックサージョンフィッシュ
briefcase computer	ブリーフケースコンピュータ
dump truck	ダンプカー
Paris club	パリクラブ
idea man	アイディアマン
dynamic memory	ダイナミックメモリ
line-marking powder	ラインパウダー
sketchbook	スケッチブック
Mother's Day	マザーズデー
bushy-tailed mongoose	フサオマングース
balcony	ベランダ
life-size	ライフサイズ
ethos	エートス
holidays	バカンス
provitamin	プロビタミン
MPEG2	エムペグツー
floppy disk controller	フロッピーディスクコントローラ
self-build	セルフビルド
clam chowder	クラムチャウダー
fault-tolerant	フォールトトレラント
adenosine	アデノシン
counterpunch	カウンターパンチ
evolute	エボリュート
dried fruit	ドライフルーツ
seat for seniors and handicapped	シルバーシート
inositol	イノシトール
mistake	ミス
Sea Beam	シービーム
ski jump	スキージャンプ
Relational Database system	リレーショナルデータベースシステム
vin de paille	ヴァンドパイユ
dry gin	ドライジン
gateau	ガトー
connotation	コノテーション
memorial hall	メモリアルホール
dishwasher	ディッシュウォッシャー
property mapping	プロパティマッピング
Refošk	レフォシュク
pop country	ポップカントリー
fiber to the curb	ファイバツーザカーブ
energy saver	エナジーセーバ
home plate	ホームプレート
bonanza	ボナンザ
lied	リート
lingerie	ランジェリー
harassment by smoking	スモークハラスメント
network manager	ネットワークマネージャ
aah	アーッ
traceur	トレーサー
best dresser	ベストドレッサー
Slav	スラブ
shorts	ハーパン
cam	カム
home game	ホームゲーム
organization	オーガニゼーション
otaku	オタク
economic animal	エコノミックアニマル
news show	ニュースショー
microstate	マイクロステート
customer service	アフターメンテナンス
rhythmic soul	リズミックソウル
bracket creep	ブラケットクリープ
grease gun	グリースガン
plasticity	プラスティシティ
pannier	パニア
bipolar	バイポーラ
anaglyph	アナグリフ
pachinko	パチンコ
toreador pants	トレアドルパンツ
plant opal	プラントオパール
shadow stripe	シャドーストライプ
Pousargues's mongoose	プウサルグマングース
half	ハーフ
PowerJ	パワージェイ
ferrite	フェライト
EIA	イーアイエー
hair dye	ヘアカラー
cyanogen bromide	ブロムシアン
duet	デュエット
cooking card	クッキングカード
villanelle	ヴィラネル
half-way between medium and well done	ミディアムウェル
trickle	トリクル
e-mail service provided by phone company	キャリアメール
gingerol	ジンゲロール
qanat	カナート
location	ロケーション
pilot test	パイロットテスト
hectolitre	ヘクトリットル
phlox	フロックス
cordless phone	コードレスホン
dreamland	ドリームランド
full combo	フルコンボ
tamoxifen	タモキシフェン
langoustine	ランゴスティーヌ
puntarelle	プンタレッラ
